Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,26.093549728393555,0.9522567987442015,0.0388978160917758,5378866,194481
 w/o SH,25.18836212158203,0.9449558258056641,0.04795675724744797,2432363,221841
