Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.1312313079834,0.8997442126274109,0.1125090420246124,4995871,189225
 w/o SH,29.34518051147461,0.8842877149581909,0.1340227574110031,2139112,177241
