Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,35.07296371459961,0.9855194091796876,0.0124865863472223,5067361,210681
 w/o SH,33.291229248046875,0.9806248545646667,0.016682274639606476,2412489,228484
