Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,34.9589729309082,0.9770644903182985,0.0206077620387077,4521377,203401
 w/o SH,34.037994384765625,0.9760122895240784,0.021831033751368523,2043294,234256
