Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,30.16141128540039,0.956821620464325,0.0419293940067291,3648816,126736
 w/o SH,27.668258666992188,0.9418511390686035,0.05965135619044304,1922822,149769
