Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,37.46590805053711,0.9837482571601868,0.0218593832105398,2933962,109561
 w/o SH,35.91576385498047,0.9812123775482178,0.027121955528855324,1565777,129600
