Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,35.85942840576172,0.9898638129234314,0.0100605441257357,2226599,80089
 w/o SH,33.5480842590332,0.9840942621231079,0.017452767118811607,1424409,112896
