Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,29.71374893188477,0.9003745317459106,0.2604320049285888,16833263,861184
 w/o SH,29.719018936157227,0.9001690149307251,0.26417237520217896,5487891,788544
