Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,28.80058479309082,0.8882283568382263,0.2753235101699829,18640330,919681
 w/o SH,28.52065658569336,0.8836575746536255,0.27594634890556335,5936749,811801
