Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,25.56157493591309,0.8775752782821655,0.1484980285167694,28790293,1595169
 w/o SH,25.06743049621582,0.8687856793403625,0.1609877645969391,11805259,1557504
