Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,21.55785179138184,0.7973787188529968,0.2225230187177658,16766776,889249
 w/o SH,21.229110717773438,0.7868022918701172,0.23594272136688232,6781291,857476
