Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,24.54261779785156,0.7260880470275879,0.251568853855133,53202029,2893401
 w/o SH,23.95030975341797,0.7128373980522156,0.26602473855018616,22232720,2845969
