Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,26.26760673522949,0.7532017230987549,0.2484848499298095,50487921,2812329
 w/o SH,25.97733497619629,0.7454085946083069,0.26035696268081665,22452017,2822400
