Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,21.50467109680176,0.5899333953857422,0.3525771498680115,54974812,2852721
 w/o SH,21.159927368164062,0.5714252591133118,0.3665423095226288,22229645,2819041
