Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,27.030656814575195,0.8397635817527771,0.1349593847990036,83494624,4343056
 w/o SH,26.5897159576416,0.8323599696159363,0.14341415464878082,33345182,4359744
