Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,30.71577453613281,0.9115329384803772,0.1387937813997268,23259372,1210000
 w/o SH,29.809154510498047,0.9013781547546387,0.152778759598732,9006151,1181569
