Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.028823852539062,0.9156585931777954,0.2051142305135727,14196402,910116
 w/o SH,30.898900985717773,0.9156976342201233,0.20806583762168884,6292781,883600
