Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.541339874267575,0.936642289161682,0.1814960539340973,23780541,1375929
 w/o SH,30.518634796142578,0.9333961009979248,0.19095730781555176,9873224,1329409
