Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,28.460908889770508,0.8959587216377258,0.1929932087659835,17619220,960400
 w/o SH,27.549983978271484,0.8878458738327026,0.2110556662082672,7008789,900601
