Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,22.619102478027344,0.6190798282623291,0.3675214648246765,41545592,2229049
 w/o SH,22.630258560180664,0.6150164008140564,0.37323009967803955,17722798,2205225
